AGE,FG,FGA,THREEP,THREEPA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PlusMinus
22.3123287671,3,3,0,0,2,2,0,1,1,1,0,0,1,3,8,5.9,7
22.3232876712,3,5,1,1,2,2,0,4,4,3,1,1,0,3,9,10.5,16
22.3260273973,1,6,0,2,0,0,1,0,1,2,0,1,1,1,2,-0.4,-9
22.3342465753,3,9,0,0,1,2,2,2,4,2,2,0,1,2,7,5.1,-10
22.3397260274,3,5,0,0,1,2,0,3,3,1,0,0,1,2,7,4.1,10
22.3479452055,4,8,0,1,2,2,1,2,3,3,1,1,0,0,10,11.1,4
22.3534246575,4,7,1,1,0,0,0,4,4,5,0,0,1,0,9,9.4,14
22.3589041096,0,3,0,0,0,0,1,1,2,3,0,0,2,1,0,-1.4,4
22.3643835616,1,5,0,1,3,3,0,3,3,2,2,0,1,2,5,4.4,4
22.3671232877,0,1,0,0,0,0,0,2,2,1,0,0,1,0,0,-0.4,1
22.3780821918,0,4,0,1,2,2,0,1,1,3,2,1,1,1,2,2.9,1
22.4,4,6,0,0,0,0,0,3,3,1,2,0,3,4,8,4.4,-13
22.402739726,7,14,0,1,0,0,0,3,3,3,2,0,0,3,14,10.8,1
22.4082191781,2,4,0,0,1,2,2,1,3,2,1,1,3,1,5,4,-4
22.4164383562,7,8,0,1,0,0,0,8,8,3,2,0,3,2,14,13.9,16
22.4191780822,0,4,0,1,0,0,0,3,3,0,0,1,1,1,0,-2.6,5
22.4246575342,4,8,1,3,2,3,1,2,3,3,1,0,2,1,11,8.6,-2
22.4356164384,2,6,0,0,3,3,0,5,5,0,1,2,0,3,7,6.3,4
22.4383561644,0,3,0,1,2,2,0,7,7,1,1,1,0,2,2,3.6,-4
22.4438356164,2,3,0,1,0,0,1,6,7,2,1,1,2,0,4,6.3,7
22.4493150685,0,2,0,0,3,4,1,4,5,0,1,0,0,1,3,3.7,-5
22.4520547945,4,5,0,0,0,0,2,4,6,2,3,0,4,4,8,7.5,-10
22.4575342466,1,4,1,1,0,0,0,4,4,2,2,0,0,1,3,4.8,-4
22.4630136986,1,3,0,0,0,0,0,2,2,0,1,0,0,0,2,1.9,3
22.4712328767,3,6,0,0,0,0,1,3,4,0,0,2,0,2,6,5.2,14
22.4767123288,0,0,0,0,0,0,0,4,4,4,1,0,1,4,0,2.4,-10
22.4821917808,0,1,0,0,0,0,0,4,4,1,0,0,1,0,0,0.2,-10
22.4876712329,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,-0.8,-3
22.4931506849,1,5,0,0,0,0,1,1,2,3,0,1,0,1,2,2.3,-1
22.498630137,3,5,0,1,0,0,0,3,3,0,1,1,0,1,6,5.9,1
22.501369863,3,7,1,1,0,0,1,4,5,3,3,0,2,2,7,7.5,-5
22.5068493151,4,6,1,2,4,4,0,3,3,7,4,1,3,3,13,16.7,18
22.5123287671,1,3,0,2,0,2,0,3,3,4,1,0,0,3,2,3,1
22.5205479452,1,1,0,0,0,0,0,3,3,3,1,0,1,0,2,4.7,0
22.5287671233,4,5,1,1,2,2,0,3,3,4,1,0,0,2,11,13,21
22.5342465753,3,4,0,0,2,3,0,11,11,3,0,0,0,2,8,10.6,0
22.5369863014,1,9,0,1,0,0,1,5,6,2,0,0,1,1,2,-1.7,-8
22.5424657534,2,5,0,0,0,0,0,8,8,1,0,0,0,3,4,3.2,4
22.5479452055,1,4,0,0,2,2,0,5,5,0,2,0,1,0,4,4.1,10
22.5506849315,6,10,1,1,2,3,1,9,10,4,5,0,0,2,15,20.4,17
